Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd IAT Mean,Bwd IAT Mean,SYN Flag Count,Label
4,2,0,18.5,0,9250000,500000,4,0,1,BENIGN
142377,46,62,28.80434783,1707.33871,752790.1276,758.5494848,3163.933333,1954.163934,0,BENIGN
118873,23,28,50.82608696,1608.035714,388599.5979,429.0293002,5403.318182,3538.555556,0,BENIGN
143577,43,55,30.25581395,1950.709091,756318.909,682.5605773,3417.380952,2228.833333,0,BENIGN
143745,49,59,27.16326531,1867.542373,775790.4623,751.3304811,2994.291667,2071.793103,0,BENIGN
120792,1,1,48,100,1225.246705,16.55738791,0,0,0,BENIGN
50906,1,1,55,83,2710.878875,39.28809963,0,0,0,BENIGN
23595,1,1,77,159,10002.11909,84.76372113,0,0,0,BENIGN
61017,4,2,43,99,6063.883836,98.33325139,16366.33333,48,0,BENIGN
196,2,2,38,70,1102040.816,20408.16327,3,48,0,BENIGN
209,2,2,32,99,1253588.517,19138.75598,48,48,0,BENIGN
196,2,2,41,73,1163265.306,20408.16327,3,48,0,BENIGN
96811,4,2,33,75,2912.89213,61.9764283,8603,4,0,BENIGN
5900543,8,5,46.5,726.2,678.4121394,2.203187063,842934.7143,65426.75,0,BENIGN
4356,3,0,6,0,4132.231405,688.7052342,2178,0,0,BENIGN
3,2,0,6,0,4000000,666666.6667,3,0,0,BENIGN
12816,3,0,6,0,1404.494382,234.082397,6408,0,0,BENIGN
93,1,1,0,0,0,21505.37634,0,0,0,BENIGN
22,1,1,0,0,0,90909.09091,0,0,0,BENIGN
118361735,26,34,36.19230769,1062.029412,313.0234615,0.506920585,4734469.4,3583882.727,0,BENIGN
48229,4,2,37,118,7962.014556,124.4064774,10272,48,0,BENIGN
149,2,2,45,61,1422818.792,26845.63758,4,3,0,BENIGN
50680,2,2,45,86,5169.692186,78.92659826,48,3,0,BENIGN
58286,2,2,47,103,5147.033593,68.62711457,48,4,0,BENIGN
48725,2,2,33,99,5418.163161,82.09338122,1,3,0,BENIGN
48226,2,2,38,54,3815.369303,82.94281093,4,3,0,BENIGN
8218,2,0,0,0,0,243.3682161,8218,0,0,BENIGN
30124,1,1,6,6,398.3534723,66.39224539,0,0,0,BENIGN
60096731,16,16,73.375,984.9375,281.762414,0.532474886,3352436.267,4004883.533,0,BENIGN
178,2,2,37,53,1011235.955,22471.91011,4,3,0,BENIGN
226,2,2,32,48,707964.6018,17699.11504,191,4,0,BENIGN
1702890,2,2,48.5,129.5,209.0563689,2.348947965,1618120,1702510,0,BENIGN
23418,1,1,56,72,5465.880946,85.40438979,0,0,0,BENIGN
